waa’ankieli	escamaen el tobillo
waskikäärme	serpiente de cobre
waskipasuuna	trompeta de cobre
waskipuhallin	Instrumento de viento-metal
waskitsa	Lución
waskiyhtye	banda de cobre
waskooli	vascol
wasoitus	vigilancia
wasonta	vasonta
wasta	Sauna
wasta-aallokko	mar de proa
wasta-aihe	contraindicación
wasta-aine	anticuerpo
wastaaja	procesado
wastaajapuoli	parte demandada
wasta-alkaja	novato
wastaanhangoittelu	pasar el rato
wastaanotin	receptor de radiación
wastaanottaja	destinatario
wastaanottajaiset	recibos
wastaanottavaisuus	receptividad
wastaanottavuus	predisposición
wastaanotto	recepción
wastaanottoaika	hora de recepción
wastaanottoapulainen	recepcionista
wastaanottoavustaja	recepcionista
wastaanottohuone	sala de recepción
wastaanottojuhlallisuudet	fiestas de recepción
wastaanottokeskus	centros de asilo
wastaanottokomitea	comité de Recepción
wastaanottokoti	casa de acogida
wastaanottokyky	capacidad de absorción
wastaanotto-osasto	departamento de recepción
wastaanottoseremonia	ceremonia de bienvenida
wastaanottotarkastus	control de aceptacion
wastaanottotodistus	certificado de recepción
wastaanottovirkailija	recepcionista
wastaanpano	recibiendo
wastaantulija	receptor
wastaantulo	llegadas
wastaantulolaina	préstamo de contra-entrada
wasta-aurinko	sol contador
wastaavuus	Equivalencia
wastaehdokas	candidato opositor
wastaehdotus	contrapropuesta
wastahakoisuus	renuencia
wastahanka	grifo de mostrador
wastahankaisuus	contraindicación
wastahiukkanen	contrapartes
wastahuomautus	contra-aviso
wastahyökkäys	contraataque
wastaisku	contraataque
wastaiskukyky	capacidad de contraataque
wastaiskumoottori	motor de carrera contraria
wastaisuus	contravención
wastajoukkue	equipo contrario
wastakaiku	respuesta
wastakanne	reconvención
wastakappale	pluma rústica
wastakarva	contra-cabello
wastakauppa	intercambio compensatorio
wastake	salida de lámpara portátil
wastakiekko	rueda trasera
wastakirja	contra-mail
wastakkainasettelu	confrontación
wastakkaissuunta	dirección inversa
wastakkaisuus	antítesis
wastakohta	opuesto
wastakohtaisuus	contraste
wastakulttuuri	Contracultura
wastakysymys	contra-pregunta
wastakäännös	traducción inversa
wastalahja	a cambio de un regalo
wastalaskos	pliegue doble contrapuesto
wastalaukka	contraclave
wastalause	recusación
wastalauselakko	huelga de protesta
wastalausemielenosoitus	manifestación de protesta
wastalausemyrsky	tormenta de protesta
wastaleiri	contracampamento
wastalevy	contraplaca
wastaluku	Opuesto
wastalääke	antídoto
wastamaa	contra-país
wastamainos	counterinos
wastamelukuuloke	auriculares con cancelación de ruido
wastamerkki	signo de contador
wastamyrkky	antídoto
wastamäki	counterhill
wastanäyttelijä	coprotagonista
wastaosto	contra-compra
wastaote	contra-extracto
wastapaine	contrapresión
wastapaineturbiini	turbina de contrapresión
wastapainevoimala	central eléctrica de contrapresión
wastapaino	contrapeso
wastapallo	counterball
wastapalvelus	a cambio de un favor
wastapari	par opuesto
wastapelaaja	oponente
wastapeluri	oponente
wastapooli	contraparte
wastapuhelu	cobro revertido
wastapuoli	titular opositor
wastarakkaus	amor a cambio
wastaranta	orilla opuesta
wastareaktio	contrarreacción
wastarinne	resistencia
wastarinta	resistencia
wastarintajoukot	fuerzas de resistencia
wastarintaliike	movimiento de resistencia
wastarintamies	hombre de resistencia
wastarintapesäke	colonia de resistencia
wastas	respondido a
wastasiirto	transferencia de contador
wastaskoivu	abedul artilugio
wastasuunta	sentido inverso
wastasyytös	reconvención
wastatakaus	contragarantía
wastatarjous	contraoferta
wastatervehdys	saludo contador
wastatoimenpide	contramedida
wastatoimi	medida de retorsión
wastattava	pasivo
wastatuuli	viento en contra
wastaus	escrito de contestación
wastauskirje	carta de respuesta
wastauskonpuhdistus	Contrarreforma
wastauskortti	Cupón de respuesta
wastauskuponki	cupón de respuesta
wastauslomake	formulario de respuesta
wastauslähetys	envío de respuesta
wastausnootti	nota de respuesta
wastauspuhe	voz de respuesta
wastaussignaali	señal de respuesta
wastaussähke	telegrama de respuesta
wastavaikutus	Reacción
wastavaikutusvoima	fuerza de reacción
wastavakoilu	actividad de contrainteligencia
wastavallankumouksellisuus	contrarrevolucionario
wastavallankumous	contrarrevolución
wastavalo	luz de fondo
wastavalosuoja	Parasol
wastaveto	apuesta de conformidad
wastavierailu	volver a visitar
wastavirta	corriente negativa
wastavirtaus	contracorriente
wastavoima	par de reacción
wastavuoroisuus	reciprocidad.
wastavuoroisuusperiaate	principio de contradicción
wastaväite	desacuerdo
wastaväittäjä	oponente
wastaväri	color a juego
wastaääni	votar en contra
waste	respuesta
wastenmielisyys	aversión
wastentahtoisuus	renuencia
wastike	consideración
wastikekauppa	operar en equivalentes
wastikkeellisuus	consideración
wastikkeettomuus	no reembolsabilidad
wastin	contraparte
wastine	contrapartida
wastingeeni	contragenes
wastinkromosomi	anticromosoma
wastinkulma	contra-ángulo
wastinlevy	placa coincidente
wastinpari	par de contrapartes
wastinpiste	punto de coincidencia
wastoinkäyminen	adversidad
wastuksellisuus	resiliencia
wastus	resistencia aerodinámica
wastusharjoittelu	entrenamiento de resistencia
wastuskumi	goma de resistencia
wastuskuminauha	banda elástica de resistencia
wastuslanka	alambre de resistencia
wastuslämpömittari	termómetro de resistencia
wastusnauha	cinta de resistencia
wastustaja	adversario
wastustamattomuus	irresistibilidad
wastustelu	objeción
wastustus	resistencia
wastustushalu	resistencia
wastustuskyky	inmunidad
wastustusmieli	resistencia
wastustusmieliala	sentimiento de oposición
wastuu	responsabilidad
wastuualue	zona de control
wastuuhenkilö	PERSONA RESPONSABLE
wastuukunta	junta directiva
wastuullisuus	responsabilidad
wastuuministeri	ministro responsable
wastuunalaisuus	responsabilidad
wastuunkantaja	persona responsable
wastuuntunne	sentido de la responsabilidad
wastuuntunnottomuus	irresponsabilidad
wastuuntunto	sentido de la responsabilidad
wastuuntuntoisuus	responsabilidad
wastuuttomuus	irresponsabilidad
wastuuvakuutus	seguro por daños a terceros
wastuuvalmentaja	coach responsable
wastuuvapaus	aprobación de la gestión
wastuuvelvollisuus	responsabilidad
wasu	izquierda
wati	plato
watiini	vatine
watja	vatja
watkain	batidora
watkaus	batido
watkuli	bigotes
watkutus	waddling
watruska	vatruska
watsa	vientre
watsa-aortta	Aorta Abdominal
watsaelinsairaus	enfermedad abdominal
watsaevä	intraabdominal
watsaflunssa	gripe estomacal
watsahaava	úlcera de estómago
watsahappo	ácido estomacal
watsakalvo	peritoneo
watsakalvontulehdus	peritonitis
watsakalvotulehdus	PERITONITIS
watsakatarri	sarro abdominal
watsakatkero	amargor abdominal
watsakipu	dolor abdominal
watsakkuus	barriga
watsalaukku	estómago
watsalauta	abdomen
watsalihas	músculo abdominal
watsanahka	cuero abdominal
watsanalus	cavidad abdominal
watsanpalvoja	adorador abdominal
watsanpeite	cubierta abdominal
watsanpohja	estómago
watsanpuru	distensión abdominal
watsantäyte	llenado abdominal
watsanväänne	torsión abdominal
watsaontelo	Cavidad Abdominal
watsapaita	Epiplón
watsapuoli	De Frente
watsasairaus	enfermedad estomacal
watsastapuhuja	ventrílocuo
watsastapuhuminen	Ventriloquia
watsatanssi	danza del vientre
watsatanssija	bailarina del vientre
watsatanssijatar	bailarina del vientre
watsatauti	enfermedad estomacal
watsavaiva	malestar estomacal
watti	vatios
watti	watt
wattu	vatio
wattuhillo	mermelada de algodón
wattukuoriainen	gusano de la frambuesa
wattukärsäkäs	picudo
wattumato	gusano
wattupensas	arbusto de algodón
watukka	hisopo de algodón
watukko	waddle
watulointi	vatulación
watupassi	pasaporte de algodón
waudeville	Vodevil
wauhdikkuus	velocidad
wauhdinotto	momentum-taking
wauhdinottopaikka	punto de despegue
wauhdinottorata	montaña rusa
wauhditus	aceleración
wauhdituslakko	ataque de refuerzo
wauhkoilu	traqueteo
wauhti	índice
wauhtiaskel	paso de ritmo
wauhtihirmu	miedo a la velocidad
wauhtihirviö	speed monster
wauhtihurjastelija	desviador de velocidad
wauhtihurjastelu	ajetreo y bullicio
wauhtihyppy	salto de velocidad
wauhtikävely	speed walk
wauhtimäki	pace Hill
wauhtipyörä	volante de inercia
wauhtiraita	carril de velocidad
wauhtirata	volante
wauhtisokeus	momentum-blindness
V-aukko	Cuello en V
waunu	carretilla
waunuilija	conductor de vagón
waunujono	cola de carro
waunukaappi	armario de vagones
waunulasti	carga de vagón
waunulastillinen	carga de vagón
waununlasti	vagón de carga
waununlastillinen	carga de vagón
waununosasto	compartimento del vagón
waunuosasto	compartimento del vagón
wauraus	riqueza
waurio	defecto de integridad
wauva	criatura
wauvahieronta	masaje para bebés
wauvaikä	Lactante
wauvakirja	baby book
wauvakutsut	baby shower
wauvakuume	fiebre del bebé
wauvala	baby pour
wauvalanka	baby Yarn
wauvamaha	vientre de bebé
wauvanvaate	ropa de bebé
wauvanvaunut	cochecitos
wauvaperhe	baby family
wauvarokko	roseola
wauvasaippua	jabón de bebé
wauvasampoo	champú para bebés
wauvashampoo	champú para bebés
wauvauinti	natación para bebés
wauvauutinen	baby news
wauvavoide	crema de bebé
wauvavuosi	baby year
wauveli	bebé
wavahdus	temblor
wavistus	temblor
WC	Inodoro
WC-allas	Piscina del inodoro
WC-istuin	Asiento del inodoro
WC-paperi	Papel higiénico
web	Web
webbi	webbi
weber	Weber
webinaari	seminario web
webmaster	webmaster
wedekkyys	acuosidad
wedeneriste	impermeabilización
wedenerotin	extractor de humedad
wedenhaltia	león acuático
wedenhaltija	contenedor de agua
wedenheitto	lanzamiento de agua
wedenjakaja	cuenca fluvial
wedenjakelu	distribución de agua
wedenjuoksu	agua corriendo
wedenkeitin	hervidor eléctrico
wedenkesto	resistencia al agua
wedenkestävyys	resistencia al agua
wedenkorkeus	nivel hidráulico
wedenkukka	flor de agua
wedenkulutus	consumo de agua
wedenkuumennin	calentador de agua
wedenkäyttö	uso del agua
wedenlämmitin	calentador de agua
wedenneito	criada de agua
wedenottamo	planta de extracción de agua
wedenotto	captación de aguas
wedenpaine	presión hidrostática del agua
wedenpaisumus	diluvio
wedenpaljous	cantidad de agua
wedenpinta	nivel de agua
wedenpitävyys	impermeabilidad
wedenpohja	fondo de agua
wedenpoisto	de desagüe
wedenpoistoletku	manguera de deshidratación
wedenpoistopumppu	bomba de deshidratación
wedenpuhdistamo	plantas depuradoras
wedenpuhdistin	purificador de agua
wedenpuhdistus	purificación de agua
wedenpuhdistuslaitos	estación depuradora de aguas residuales
wedenpuute	escasez de agua
wedenpyhitys	santuario de agua
wedenraja	línea de flotación
wedensaanti	recursos disponibles de agua
wedensekoitin	mezclador de agua
wedensuodatin	filtro de agua
wedensyvyys	profundidad del agua
wedensäännöstely	regulación del agua
wedentarve	demanda
wedentulo	entradas de agua
wedenvaihto	intercambio de agua
wedike	líquido
wedin	tirador
wedonlyönti	apuestas
wedonsäädin	estabilizador de tiraje
wedonvälittäjä	casa de apuestas
wedonvälitys	casa de apuestas
wedos	Borrador
wedostus	corrección de pruebas
wedostuspaperi	papel de prueba
wedätys	autoestop
wegaani	vegano
weganismi	veganismo
wege	vegetariano
wegetaari	vegetariano
wegetariaani	vegetariano
wegetarianismi	vegetarianismo
wegetarismi	vegetarianismo
wegetaristi	vegetariano
wehje	gadgets
wehka	maquinilla de afeitar
wehkakasvi	forraje herbáceo
wehkeilijä	conspirador
wehkeily	intriga
wehmaus	exuberancia
wehnä	trigo
wehnähiutale	copos de trigo
wehnäjauho	harina de trigo para pienso
wehnäkorppu	cesta de trigo
wehnäleipä	pan de trigo
wehnälese	salvado de trigo
wehnänalkio	germen de trigo
wehnänen	trigo
wehnänjyvä	grano de trigo
wehnänoras	pasto de trigo
wehnänorasmehu	zumo de pasto de trigo
wehnäolut	'weissbier'
wehnäpelto	campo de trigo
wehnäpulla	pan de trigo
wehnäsato	cosecha de trigo
wehnäspitko	brea de trigo
wehnästaikina	masa de trigo
wehnäsuurimo	arboleda de trigo
wehnäsämpylä	pan de trigo
wehnätaikina	masa de trigo
wehreys	vegetación
wehtaus	aleteo
weijari	pícaro
weijariromaani	Galopo
weikeys	enigma
weikistelijä	intrigante
weikistely	espasmos
weikka	apuesta
weikka	apuesta
weikkaaja	apostante
weikkailu	apuestas
weikkaus	predicción
weikkausasiamies	agente de apuestas
weikkauskierros	ronda de apuestas
weikkauskuponki	cupón de apuestas
weikkauskysymys	pregunta de apuestas
weikkausrivi	línea de apuesta
weikkausvarat	fondos de apuestas
weikkausvoitto	premio de apuestas
weikkausvoittovarat	ganancias de apuestas
weikko	joven
weikkonen	veikkonen
weisaus	lobo de ganado
weistely	talla
weisto	talla
weistoksellisuus	escultórico
weistos	escultura
weistosryhmä	grupo de escultura
weistotaide	arte escultórico
weistämö	taller de escultura
weisu	ganado
weisuu	boca de ternera
weiterä	hoja de afeitar
weitikka	pájaro carpintero
weitikkamaisuus	vejación
weitsenkärjellinen	con punta de cuchillo
weitsenkärki	punta de cuchillo
weitsenpisto	poda con cuchillo
weitsenpää	cabeza de cuchillo
weitsenteroitin	afilador de cuchillos
weitsenteroittaja	afilador de cuchillos
weitsenterä	hoja de cuchillo
weitsi	cuchillo
weitsikytkin	kniveswitch
weitsitukki	bloque de cuchillas
weivaus	secado
weivi	vivi
wekara	cornamuza
wekkari	vekkari
wekkari	vekkari
wekkaus	wecking
wekki	vekki
wekkihame	falda plisada
wekotin	widget
wekseli	letra de cambio
wekselikierre	giro de la letra de cambio
wekselilomake	formulario de letra de cambio
wekselipetos	fraude de letras de cambio
wekseliprotesti	protesta de la letra de cambio
wekselisaaminen	letras de cambio por cobrar
wekselisaatava	factura por cobrar
wekselisumma	importe de la factura
wekselitakaus	garantía
wekselitunnuste	identificador de letra de cambio
wekselivelallinen	letras de cambio deudor
wekselivetoisuus	letra de cambio tonelaje
wektori	vector de enfermedad
wektorianalyysi	análisis vectorial
wektorilaskenta	cálculo vectorial
welallinen	prestatario
welanmaksu	pago de la deuda
welanmaksujärjestely	acuerdo de reembolso de la deuda
welattomuus	sin deudas
welho	Hechicero
welholehti	hoja de asistente
weli	hermano
welikulta	brother gold
welimies	hermano
welinen	deudor
welipekka	brother-boy
welipoika	sobrino
welipuoli	medio hermano
weljeily	fraternización
weljekset	hermanos
weljellisyys	fraternidad
weljenmalja	tostadas de hermano
weljenpoika	sobrino
weljensurmaaja	asesino de hermanos
weljentytär	sobrina
weljes	hermano
weljesjärjestö	fraternidad
weljeskansa	nación hermana
weljeskunta	hermandad
weljesliitto	fraternidad
weljespuolue	parte fraternal
weljessarja	fraternidad
weljessota	guerra fratricida
weljestö	fraternidad
weljeys	fraternidad
weljistö	hermandad
weljyys	fraternidad
welka	deudas
welkaisuus	endeudamiento
welkajärjestely	reestructuración de la deuda
welkajärjestelyhakemus	solicitud de reestructuración de deuda
welkakierre	espiral de la deuda
welkakiinnitys	hipoteca de deuda
welkakirja	título de crédito
welkakuorma	carga de deuda
welkaloukku	neto patrimonial negativo
welkamenot	gasto por deuda
welkaneuvoja	consejero de deudas
welkaneuvonta	asesoramiento sobre deudas
welkaorja	esclavo de la deuda
welkaorjuus	servidumbre por deudas
welkapääoma	capital de deuda
welkaraha	dinero de la deuda
welkasaneeraus	reestructuración de la deuda
welkasitoumus	instrumento de renta fija
welkasuhde	tasa de endeudamiento
welkasumma	importe de la deuda
welkataakka	carga de la deuda
welkavankeus	arresto sustitutorio
welkavanki	prisionero por deudas
welkavipu	Apalancamiento
welkoja	acreedor
welkojainkokous	junta de acreedores
welkomiskanne	acción de deuda
welkomiskirje	carta de adeudo
welkomus	endeudamiento
wellerismi	wellerismo
welli	vell
wellihousu	cuello alto
wellikello	campana celta
wellonta	guata
welmuilija	velmuilija
welmuilu	velmuilu
welodromi	velódromo
weloitus	tasación
weloitushinta	precio de cargo
weloitusmäärä	importe del cargo
weloitussumma	importe del cargo
weloitusyksikkö	unidad básica de tarificación
welouté	velouté
weltostelu	holgura
welttoilu	flácido
welttous	letargo
weluuri	velours
welvoite	obligación
welvoiteoikeus	Derecho de las obligaciones
welvoitetyöllistettävä	requerido para ser empleado
welvoittavuus	carácter vinculante
welvoitus	obligación
welvollisuudentunne	sentido del deber
welvollisuudentunto	sentido del deber
welvollisuus	deber
welvollisuusvierailu	visita obligatoria
wemmel	vemmel
wemmelsuoli	colon sigmoide
wemmelsääri	glándula vaginal
wempain	gizmo
wempele	gadget
wemputin	embaucador
wemputus	estratagema
wenakko	ruso
wenda	vendal
wene	barca
weneaukko	apertura de embarcaciones
weneenhylky	naufragio de barco
weneenkokka	cocinero de barco
weneenperä	popa de barco
weneenpohja	fondo de barco
weneenrakentaja	constructor de barcos
weneentekijä	fabricante de barcos
weneenveisto	escultura de barcos
weneenveistäjä	escultor de barcos
weneilijä	navegante
weneily	navegación de portiva
weneilykausi	temporada de navegación
weneilyliivi	chaleco de flotación
wenekansa	boat people
wenekansi	cubierta de botes
wenekuljetus	transporte en barco
wenekunta	empresa de yates
wenekyyti	paseo en barco
wenelaituri	muelle de barcos
wenelasti	carga rusa
wenelastillinen	carga rusa
weneluokka	clase de barco
wenemalli	modelo de barco
wenemoottori	motor de barco
wenenäyttely	salón náutico
wenepaikka	spot de barco
wenepakolainen	barco refugiado
wenepoliisi	policía de embarcaciones
wenepääntie	camino del cuello del barco
weneranta	veneranta
wenerologi	venereólogo
wenerologia	venereología
wenesatama	puerto deportivo
wenesektio	disección de embarcaciones
wenesuoja	refugio para embarcaciones
wenetsialaiset	venecianos
wenetsianpuna	rojo veneciano
wenetyyppi	tipo de barco
wenevaja	boathouse
wenevalkama	blanqueamiento ruso
weneveistämö	escultor de barcos
weneväylä	boat fairway
wenezuelanpassio	pase venezolano
wenhe	ruso
wenho	carena
wenkoilu	venkoilu
wenkoli	venkol
wenonen	venonen
wentilaatio	ventilación
wentilaattori	ventilador
wentilointi	ventilación
wenttiili	válvula
wenttiilikoneisto	conjunto de válvulas
wenttiilinhattu	tapa de válvula
wenttiilinistukka	asiento de tapón
wenttiilinlautanen	placa de válvula
wenttiilinnostin	polipasto de válvulas
wenuksenkenkä	zapato venus
wenuskukkula	venus hill
wenyke	elongación
wenymä	alargamiento
wenytys	trefilado
wenytyslujuus	resistencia al estiramiento
wenyvyys	preste
wenähdys	esguince
wenäjä	ruso
wenäjännös	russian
wenäjänvinttikoira	galgo ruso
wenäläisyys	rusianismo
wenät	barcos
wenäytys	estirar
wepsä	vepsian
weranta	veranda
werbaaliakrobaatti	acróbata verbal
werbaaliakrobatia	acrobacias verbales
werbalisointi	verbalización
werbi	Verbo
werbinmuoto	forma verbal
werekkyys	hiperemia
werenglukoosi	glucosa en sangre
werenhimo	sed de sangre
werenhimoisuus	sed de sangre
werenhukka	pérdida de sangre
werenimijä	chupasangre
werenkierto	Aparato circulatorio
werenkiertoelimistö	Trastornos vasculares Trastornos de la piel y el
werenkiertoelin	sistema circulatorio
werenkiertohäiriö	trastornos vasculares
werenkuva	hemograma
werenluovuttaja	donante de sangre
werenluovutus	extracción de sangre
werenmyrkytys	septicemia
werenohennuslääke	anticoagulante
werenpaine	Hipertensión
werenpainelääke	medicamento hipotensor
werenpainemittari	tensiómetro
werenpainetauti	hipertensión arterial
werenperintö	herencia de sangre
werenpisara	gota de sangre
werenpuna	rojo sangre
werenpurkauma	hematoma
werenpurkautuma	hematoma
werensiirto	transfusión sanguínea
werensokeri	Azúcar de la Sangre
werensyöksy	hemorragia
werentungos	congestión
werenvaihto	intercambio de sangre
werenveto	extracción de sangre
werenvirtaus	flujo sanguíneo
werenvuodatus	derramamiento de sangre
werenvuoto	sangría
werenvuotokuume	fiebre hemorrágica
werenvuototauti	Hemofilia
werenvähyys	deficiencia de sangre
werestys	coagulación de la sangre
werhiö	cáliz
werho	velo
werhoilija	tapicero
werhoilu	Tapicero
werhoilukangas	tejido para tapicería
werhokangas	tejido para visillos
werholauta	tablero de cortina
werholehti	sépalo
werhoomo	sala de cortinas
werhopilvi	altostratus
werhopuu	árbol de cortinas
werhopuusto	árbol de cortinas
werhorengas	anillo de cortina
werhotanko	barra de cortina
werhous	revestimiento
weri	sangre
weriappelsiini	sanguina
weriarvo	valor sanguíneo
weridoping	dopaje sanguíneo
werifikaatio	verificación
werifikaatti	verificación
werifiointi	verificación
werigreippi	pomelo de sangre
werihaava	úlcera de sangre
werihera	suero de la sangre
werihiutale	trombocito
werihyytymä	coágulo sanguíneo
werijauho	harina de sangre
werijuotikas	MYTILOIDA
werijuuri	raíz de sangre
werikivi	pulidor
werikoe	análisis de sangre
werikoira	sabueso
werikosto	Enemistad
werileipä	pan de sangre
werilöyly	masacre
werimakkara	Morcilla
werinaarmu	rasguño de sangre
werinahka	Corion (Dermis)
werinäyte	muestra de sangre
weriohukainen	sediento de sangre
weriohukas	amenazante para la sangre
werioksennus	hematemesis
weripahka	salpicaduras de sangre
weripalttu	paleta de sangre
weripankki	centro de transfusión de sangre
weripeippi	tubo de sangre
weripisara	gota de sangre
weriplasma	plasma sanguíneo
weripussi	bolsa de sangre
weriryhmä	grupos sanguíneos
weriryhmäantigeeni	antígeno de grupo sanguíneo
weriryhmätekijä	factor de grupo sanguíneo
weriseerumi	suero sanguíneo
weriside	vendaje de sangre
werisolu	corpúsculo sanguíneo
werisukulainen	pariente consanguíneo
werisukulaisuus	parentesco por consanguinidad
werisuoni	coronario
werisuonipunos	plexo vascular
werisuonisairaus	enfermedad de los vasos sanguíneos.
werisuonisto	Rubor facial
werisuonitauti	enfermedad vascular
werisuonitukkeuma	obstrucción vascular
werisuonitukos	trombosis
werisuonitulehdus	vasculitis
werisuonitus	vascularidad
werisyys	sanguinolencia
werisyöpä	linfemia
weritahra	mancha de sangre
weritankkaus	abastecimiento de sangre
weritartunta	infección de la sangre
weritauti	enfermedad de la sangre
weriteko	derramamiento de sangre
weritesti	análisis de sangre
weritukko	coágulo de sangre
weritukos	trombosis
weritulppa	trombo
werityö	análisis de sangre
weriuhri	sacrificio de sangre
weriura	surco sanguíneo
werivaahtera	arce sangriento
weriveli	hermano de sangre
weriveljeys	hermandad de sangre
werivelka	deuda de sangre
weriviemäri	drenaje de sangre
werivihollinen	enemigo de la muerte
weriviljely	hemocultivo
werivirta	flujo sanguíneo
werivirtsaisuus	hematuria
weriyskä	Hemoptisis
weriyskös	hemoptisis.
werka	lanería
werkilö	red
werkkaisuus	lentitud
werkkari	sudadera
werkko	red
werkkoadressi	dirección web
werkkoaita	valla de telaraña
werkkoallas	cuenca web
werkkoallaskasvatus	cultivo neto de reservorios
werkkoasiointi	transacciones en línea
werkkoavaruus	ciberespacio
werkkohahmo	carácter web
werkkohuutokauppa	subasta en línea
werkkohyökkäys	ciberataque
werkkohäirintä	ciberacoso
werkkohäkki	jaula de red
werkkojata	sin redes
werkkojulkaisu	publicación en línea
werkkojuttelu	cibercharla
werkkojännite	tensión de suministro de red
werkkokalastus	pesca con red
werkkokalvo	retina
werkkokamera	cámara web
werkkokangas	material no tejido de hilos de vidrio dispuestos en capas
werkkokassi	cerca flotante
werkkokauppa	comercio electrónico
werkkokeskustelu	Ventana de conversación...
werkkokiusaaja	ciberacoso
werkkokiusaaminen	intimidación por Internet
werkkokokous	reunión en línea
werkkokudos	malla
werkkokurssi	curso online
werkkolaite	dispositivo de red
werkkolaturi	cargador en línea
werkkolehti	revista online
werkkolääkäri	médico en línea
werkkomaha	redecilla
werkkomainonta	publicidad online
werkkomainos	anuncio en línea
werkkomarkkinointi	marketing online
werkkomeloni	melon bordado
werkkomerkki	marca web
werkkomuuntaja	transformador de red
werkkomyynti	ventas en línea
werkkoneulos	red de tul
werkkonäkyvyys	visibilidad en línea
werkko-opetus	e-learning
werkko-opiskelu	enseñanza en línea
werkko-osoite	dirección de red
werkkopaita	camisa de malla
werkkopallo	netball
werkkopalvelu	servicio en línea
werkkopankki	banca en línea
werkkopankkitunnus	iD de banca en línea
werkkopeli	Juego en línea
werkkopiratismi	piratería en línea
werkkopitsi	encaje de malla
werkkopokeri	póker online
werkkopuhelin	webphone
werkkopyynti	pesca online
werkkopäiväkirja	bitácora
werkkoraudoitus	rejilla
werkkorikollinen	ciberdelincuente
werkkorikollisuus	ciberdelincuencia
werkkorikos	ciberdelincuencia
werkkoryhmä	grupo web
werkkoryhmäpuhelu	llamada de grupo en línea
werkkoselain	Navegador web
werkkoseminaari	seminario web
werkkosilmä	malla
werkkosisältö	contenido en línea
werkkosivu	página web
werkkosivusto	sitio web
werkkosolmu	nodo de la red
werkkosukka	calcetín de red
werkkosyöte	fuente
werkkotunnistus	autenticación de red
werkkotunnus	nombre de dominio
werkkotuomari	juez web
werkkourkinta	suplantación de identidad
werkkovaalit	elecciones en línea
werkkoversio	(versión en línea).
werkkovierailu	itinerancia
werkkoviestintä	comunicación en línea
werkkoviettely	acoso sexual de menores a través de internet
werkkovirhe	Error de red
werkkovirta	Corriente AC disponible de nuevo
werkkoyhteisö	comunidad en línea
werkkoyhteisöpalvelu	servicio de red social
werkkoyhteys	conexión de redes
werkkoäänestys	votación en línea
werkosto	red
werkostointi	networking
werkostomarkkinointi	mercadeo en red
werkotus	networking
werme	verme
wermikuliitti	vermiculita
wermiselli	vermicelli
wermutti	Vermut
wernissa	Barniz
wernissaus	vernissing
wero	carga
weroale	venta de impuestos
weroaste	tipo impositivo
weroasteikko	tipos de gravamen
weroehdotus	propuesta fiscal
weroelvytys	reanimación fiscal
weroennakko	adelanto fiscal
werohallinto	Administración scal
werohelpotus	incentivo fiscal
werohelvetti	infierno fiscal
werohuojennus	Desgravación fiscal
weroilmoitus	hoja de declaración de impuestos
weroilmoituslomake	formulario de declaración de impuestos
weroisuus	verificabilidad
werojohtaja	responsable de fiscalidad
werojäämä	residuo fiscal
werokanta	tipo impositivo
werokarhu	oso fiscal
werokeidas	paraíso tributario
werokortti	tarjeta fiscal
werolautakunta	junta tributaria
weroleikkuri	recortador de impuestos
werolippu	notificación
werollepano	recaudación de impuestos
werollisuus	fiscalidad
weroloukku	trampa fiscal
weroluettelo	lista de impuestos
weroluokka	tramo de renta
weromerkki	timbre fiscal
weroministeri	ministro de Hacienda
weromuistutus	recordatorio fiscal
weromätky	sombrero de impuestos
weronalennus	reducción de impuestos
weronhuojennus	beneficio fiscal
weronkanto	recaudación del impuesto
weronkanto-oikeus	derecho de recaudación de impuestos
weronkavallus	evasión fiscal
weronkevennys	reducción de impuestos
weronkierto	elusión fiscal
weronkorotus	aumento de los impuestos
weronlievennys	reducción de impuestos
weronlisäys	impuesto suplementario sobre la renta
weronmaksaja	contribuyente
weronmaksu	pago del impuesto
weronmaksukyky	capacidad contributiva
weronmääräämisoikeus	derecho a la determinación de impuestos
weronoikaisu	ajuste fiscal
weronpalautus	devolución del impuesto
weronpidätys	retención de impuestos
werontasausrahasto	fondo de nivelación de impuestos
weronumero	número de identificación fiscal
weronäyttely	exposición fiscal
wero-oikeus	derecho fiscal
weropakolainen	refugiado fiscal
weroparatiisi	centro bancario extraterritorial
weroperuste	base imponible
weropetos	fraude fiscal
weropiiri	jurisdicción fiscal
weropohja	base tributaria
weropolitiikka	política fiscal
weroprosentti	tipo impositivo
weroraha	dinero de impuestos
werorasitus	carga fiscal
werorikos	infracción fiscal
weroruuvi	tornillo de impuestos
werorästi	atrasos fiscales
werosaatava	impuesto por cobrar
weroselvitys	declaración de impuestos
werosopimus	acuerdo tributario
werosuunnittelu	planificación fiscal
werotaakka	privilegios fiscales
werotalous	economía fiscal
werotarkastus	auditoría fiscal
werotoimisto	Agencia Tributaria
werottaja	recaudador de impuestos
werottomuus	exención de impuestos
werotulo	ingresos fiscales
werotus	impuestos
werotusarvo	valor fiscal
werotuskohde	destino fiscal
werotuskohtelu	trato fiscal
werotusoikeus	derecho a gravar
werotusperuste	base imponible
werotustodistus	certificado fiscal
werotusvuosi	ejercicio fiscal
werouudistus	reforma fiscal
werovalitus	reclamación fiscal
werovalmistelija	preparador de impuestos
